Product_Number,date_dt,demand_last_year,lag_1,lag_7,roll_3_mean,roll_7_mean,demand_T,predicted
Product_84,2022-02-02,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-03,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-04,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-05,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-06,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-07,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-08,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-09,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-10,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-11,1,0.0,0.0,0.0,0.0,0,0.3447890251630177
Product_84,2022-02-12,1,0.0,0.0,0.0,0.0,0,0.3447890251630177
Product_84,2022-02-14,6,0.0,0.0,0.0,0.0,0,2.9151161616161603
Product_84,2022-02-15,1,0.0,0.0,0.0,0.0,0,0.3447890251630177
Product_84,2022-02-16,1,0.0,0.0,0.0,0.0,0,0.3447890251630177
Product_84,2022-02-17,1,0.0,0.0,0.0,0.0,0,0.3447890251630177
Product_84,2022-02-18,0,0.0,0.0,0.0,0.0,0,0.9070576322351525
Product_84,2022-02-19,0,0.0,0.0,0.0,0.0,7,0.9070576322351525
Product_84,2022-02-20,4,7.0,0.0,2.3333333333333335,1.0,5,5.0317460317460325
Product_84,2022-02-21,0,5.0,0.0,4.0,1.7142857142857142,1,0.6019118566618568
Product_84,2022-02-22,0,1.0,0.0,4.333333333333333,1.8571428571428572,1,1.05
Product_84,2022-02-23,0,1.0,0.0,2.3333333333333335,2.0,1,0.96
Product_84,2022-02-24,0,1.0,0.0,1.0,2.142857142857143,1,1.21
Product_84,2022-02-25,0,1.0,0.0,1.0,2.2857142857142856,3,2.756666666666667
Product_84,2022-02-26,0,3.0,7.0,1.6666666666666667,2.7142857142857144,1,1.3466666666666667
Product_84,2022-02-27,0,1.0,5.0,1.6666666666666667,1.8571428571428572,0,4.56
Product_84,2022-02-28,0,0.0,1.0,1.3333333333333333,1.1428571428571428,0,0.22181818181818183
Product_84,2022-03-01,0,0.0,1.0,0.3333333333333333,1.0,0,0.057574074074074076
Product_84,2022-03-05,0,0.0,1.0,0.0,0.8571428571428571,0,0.036309020500196965
Product_84,2022-03-06,0,0.0,1.0,0.0,0.7142857142857143,0,0.021845959595959596
